,user,#_messages,#_messages_as_percentage_of_total,mean,time_delta,programming_language,time_delta_s
54,Aamira,4.0,5.314786853130648e-07,0.3333333333333333,0 days 00:26:01.269000,python,0.018070243055555556
55,Aamirah,41.0,5.447656524458915e-06,3.4166666666666665,13 days 10:37:50.518000,python,13.442945810185185
56,Aamiyah,18.0,2.3916540839087917e-06,1.5,1 days 17:03:13.684000,python,1.7105750462962963
57,Aamna,10.0,1.3286967132826622e-06,0.8333333333333334,25 days 23:09:33.548000,python,25.96497162037037
58,Aanaya,3.0,3.9860901398479863e-07,0.25,0 days 00:02:10.761000,python,0.0015134375
60,Aanika,2.0,2.657393426565324e-07,0.16666666666666666,2 days 15:54:23.876000,python,2.6627763425925925
61,Aaniya,2.0,2.657393426565324e-07,0.16666666666666666,0 days 00:06:46.533000,python,0.004705243055555555
62,Aaniyah,2.0,2.657393426565324e-07,0.16666666666666666,0 days 00:01:16.321000,python,0.0008833449074074075
65,Aanvi,5.0,6.643483566413311e-07,0.4166666666666667,50 days 14:18:02.985000,python,50.59586788194444
66,Aanya,42.0,5.580526195787181e-06,3.5,21 days 20:57:23.678000,python,21.873190717592593
67,Aaqib,2.0,2.657393426565324e-07,0.16666666666666666,110 days 10:26:00.342000,python,110.43472618055556
68,Aara,10.0,1.3286967132826622e-06,0.8333333333333334,43 days 20:33:58.517000,python,43.85692728009259
69,Aarabhi,6.0,7.972180279695973e-07,0.5,177 days 12:43:55.280000,python,177.53050092592594
70,Aaradhya,142.0,1.8867493328613804e-05,11.833333333333334,1 days 18:29:29.101000,python,1.7704757060185186
71,Aaraf,101.0,1.3419836804154888e-05,8.416666666666666,46 days 04:25:02.834000,python,46.1840605787037
72,Aaralyn,10.0,1.3286967132826622e-06,0.8333333333333334,23 days 01:53:09.228000,python,23.078579027777778
74,Aaran,6.0,7.972180279695973e-07,0.5,0 days 00:05:37.479000,python,0.0039060069444444446
75,Aarav,35.0,4.650438496489318e-06,2.9166666666666665,0 days 00:25:11.962000,python,0.017499560185185184
76,Aaria,14.0,1.860175398595727e-06,1.1666666666666667,0 days 00:25:04.074000,python,0.01740826388888889
77,Aariah,7.0,9.300876992978635e-07,0.5833333333333334,0 days 04:37:24.032000,python,0.19263925925925926
78,Aarianna,2.0,2.657393426565324e-07,0.16666666666666666,0 days 00:00:43.653000,python,0.0005052430555555555
79,Aaric,11.0,1.4615663846109284e-06,0.9166666666666666,0 days 00:11:54.809000,python,0.008273252314814815
80,Aarik,15.0,1.9930450699239932e-06,1.25,0 days 19:53:44.620000,python,0.8289886574074075
81,Aarika,41.0,5.447656524458915e-06,3.4166666666666665,16 days 04:19:16.096000,python,16.180047407407407
82,Aarin,4.0,5.314786853130648e-07,0.3333333333333333,0 days 00:02:15.933000,python,0.001573298611111111
83,Aarish,54.0,7.174962251726376e-06,4.5,239 days 13:27:38.805000,python,239.5608657986111
84,Aarit,2.0,2.657393426565324e-07,0.16666666666666666,0 days 00:03:08.280000,python,0.0021791666666666665
86,Aariya,2.0,2.657393426565324e-07,0.16666666666666666,0 days 00:00:13.623000,python,0.00015767361111111112
87,Aariyah,2.0,2.657393426565324e-07,0.16666666666666666,16 days 05:05:21.011000,python,16.212048738425924
88,Aarna,2.0,2.657393426565324e-07,0.16666666666666666,0 days 00:00:54.057000,python,0.0006256597222222222
91,Aarohi,81.0,1.0762443377589563e-05,6.75,142 days 06:46:58.983000,python,142.28262711805556
92,Aaron,4.0,5.314786853130648e-07,0.3333333333333333,0 days 00:01:18.303000,python,0.0009062847222222222
93,Aarsh,5.0,6.643483566413311e-07,0.4166666666666667,53 days 18:47:27.372000,python,53.782955694444446
94,Aarshi,3.0,3.9860901398479863e-07,0.25,0 days 00:00:28.343000,python,0.00032804398148148146
95,Aarush,59.0,7.839310608367706e-06,4.916666666666667,139 days 21:36:42.505000,python,139.90049195601853
96,Aarushi,14.0,1.860175398595727e-06,1.1666666666666667,0 days 00:31:57.565000,python,0.022194039351851852
97,Aarushreddy,18.0,2.3916540839087917e-06,1.5,2 days 23:16:38.649000,python,2.9698917708333332
99,Aaryah,67.0,8.902267978993837e-06,5.583333333333333,10 days 11:28:02.681000,python,10.477808807870371
100,Aaryahi,115.0,1.5280012202750616e-05,9.583333333333334,17 days 04:21:35.919000,python,17.181665729166667
102,Aaryana,18.0,2.3916540839087917e-06,1.5,13 days 19:43:20.244000,python,13.821762083333333
105,Aaryav,13.0,1.7273057272674607e-06,1.0833333333333333,181 days 23:29:36.098000,python,181.97889002314815
106,Aashna,5.0,6.643483566413311e-07,0.4166666666666667,26 days 15:33:15.467000,python,26.64809568287037
107,Aashrita,9.0,1.1958270419543959e-06,0.75,27 days 16:40:41.108000,python,27.694920231481483
109,Aashvi,17.0,2.2587844125805255e-06,1.4166666666666667,18 days 14:01:18.988000,python,18.584247546296297
110,Aasim,7.0,9.300876992978635e-07,0.5833333333333334,15 days 05:01:32.914000,python,15.209408726851851
111,Aasir,11.0,1.4615663846109284e-06,0.9166666666666666,0 days 00:07:45.295000,python,0.005385358796296296
112,Aasiyah,4.0,5.314786853130648e-07,0.3333333333333333,53 days 08:34:01.468000,python,53.356961435185184
113,Aason,2.0,2.657393426565324e-07,0.16666666666666666,0 days 00:00:30.630000,python,0.0003545138888888889
114,Aathira,3.0,3.9860901398479863e-07,0.25,48 days 05:13:51.269000,python,48.21795450231482
116,Aavan,20.0,2.6573934265653244e-06,1.6666666666666667,135 days 00:47:26.886000,python,135.03295006944444
117,Aaven,36.0,4.783308167817583e-06,3.0,82 days 20:08:47.310000,python,82.83943645833334
118,Aavion,2.0,2.657393426565324e-07,0.16666666666666666,0 days 00:02:47.814000,python,0.0019422916666666666
120,Aavyan,6.0,7.972180279695973e-07,0.5,2 days 04:52:11.990000,python,2.202916550925926
121,Aayam,4.0,5.314786853130648e-07,0.3333333333333333,4 days 21:08:55.302000,python,4.881195625
123,Aayden,67.0,8.902267978993837e-06,5.583333333333333,232 days 12:41:30.077000,python,232.52882033564813
124,Aayu,87.0,1.155966140555916e-05,7.25,1 days 04:06:46.775000,python,1.1713747106481482
126,Aaziyah,3.0,3.9860901398479863e-07,0.25,3 days 13:58:45.029000,python,3.582465613425926
128,Abaddon,2.0,2.657393426565324e-07,0.16666666666666666,0 days 00:01:31.033000,python,0.0010536226851851852
129,Abagail,17.0,2.2587844125805255e-06,1.4166666666666667,10 days 23:50:37.418000,python,10.99348863425926
130,Abanoub,3.0,3.9860901398479863e-07,0.25,0 days 19:19:27.083000,python,0.8051745717592592
131,Abass,4.0,5.314786853130648e-07,0.3333333333333333,0 days 00:03:46.485000,python,0.002621354166666667
132,Abba,29.0,3.85322046851972e-06,2.4166666666666665,4 days 13:14:11.844000,python,4.5515259722222225
133,Abbagail,5.0,6.643483566413311e-07,0.4166666666666667,196 days 16:42:15.209000,python,196.69600936342593
134,Abbas,116.0,1.541288187407888e-05,9.666666666666666,21 days 02:31:01.568000,python,21.10487925925926
135,Abbi,28.0,3.720350797191454e-06,2.3333333333333335,274 days 11:50:18.257000,python,274.4932668634259
136,Abbie,3.0,3.9860901398479863e-07,0.25,36 days 00:14:43.076000,python,36.010220787037035
137,Abbigail,3.0,3.9860901398479863e-07,0.25,0 days 00:03:17.956000,python,0.0022911574074074076
138,Abbigale,3.0,3.9860901398479863e-07,0.25,0 days 00:04:57.208000,python,0.0034399074074074076
139,Abbott,42.0,5.580526195787181e-06,3.5,214 days 22:01:37.450000,python,214.91779456018517
140,Abby,2.0,2.657393426565324e-07,0.16666666666666666,0 days 00:02:39.143000,python,0.0018419328703703703
142,Abdala,9.0,1.1958270419543959e-06,0.75,0 days 00:06:42.943000,python,0.00466369212962963
144,Abdalahe,6.0,7.972180279695973e-07,0.5,0 days 00:01:56.716000,python,0.0013508796296296296
145,Abdel,42.0,5.580526195787181e-06,3.5,70 days 20:27:39.463000,python,70.85254008101852
147,Abdeladim,5.0,6.643483566413311e-07,0.4166666666666667,0 days 00:03:47.202000,python,0.0026296527777777776
148,Abdelakrim,48.0,6.377744223756778e-06,4.0,15 days 21:21:50.464000,python,15.890167407407407
149,Abdelali,5.0,6.643483566413311e-07,0.4166666666666667,0 days 00:03:36.211000,python,0.0025024421296296296
150,Abdelasis,38.0,5.0490475104741166e-06,3.1666666666666665,16 days 12:31:28.846000,python,16.52186164351852
151,Abdelazis,59.0,7.839310608367706e-06,4.916666666666667,18 days 15:38:49.531000,python,18.65196216435185
152,Abdelaziz,25.0,3.3217417832066552e-06,2.0833333333333335,195 days 09:13:11.335000,python,195.38415896990742
153,Abdelazize,40.0,5.314786853130649e-06,3.3333333333333335,5 days 01:49:47.875000,python,5.076248553240741
154,Abdelbaki,11.0,1.4615663846109284e-06,0.9166666666666666,21 days 13:13:18.299000,python,21.550906238425927
157,Abdelelah,315.0,4.1853946468403855e-05,26.25,19 days 18:56:01.014000,python,19.788900625
158,Abdelfatah,5.0,6.643483566413311e-07,0.4166666666666667,123 days 16:17:28.344000,python,123.67880027777778
159,Abdelfattah,5.0,6.643483566413311e-07,0.4166666666666667,0 days 00:46:07.161000,python,0.03202732638888889
161,Abdelfettah,32.0,4.251829482504519e-06,2.6666666666666665,30 days 04:10:39.014000,python,30.174062662037038
163,Abdelghni,2.0,2.657393426565324e-07,0.16666666666666666,0 days 00:00:46.623000,python,0.0005396180555555556
164,Abdelhafid,3.0,3.9860901398479863e-07,0.25,95 days 16:02:43.944000,python,95.66856416666667
165,Abdelhai,4.0,5.314786853130648e-07,0.3333333333333333,77 days 03:27:26.322000,python,77.14405465277778
166,Abdelhak,85.0,1.1293922062902629e-05,7.083333333333333,5 days 01:15:55.286000,python,5.052723217592592
167,Abdelhakim,4.0,5.314786853130648e-07,0.3333333333333333,41 days 08:49:29.039000,python,41.367697210648146
168,Abdelhalak,9.0,1.1958270419543959e-06,0.75,81 days 16:11:48.809000,python,81.67487047453703
169,Abdelhalim,181.0,2.4049410510416184e-05,15.083333333333334,123 days 21:29:05.892000,python,123.89520708333333
170,Abdelhamid,23.0,3.056002440550123e-06,1.9166666666666667,24 days 03:11:51.762000,python,24.133237986111112
172,Abdelilah,10.0,1.3286967132826622e-06,0.8333333333333334,0 days 15:28:02.900000,python,0.6444780092592592
173,Abdelillah,83.0,1.1028182720246096e-05,6.916666666666667,69 days 17:01:34.608000,python,69.70942833333334
174,Abdeljabbar,11.0,1.4615663846109284e-06,0.9166666666666666,159 days 05:27:57.807000,python,159.22775239583333
176,Abdelkabir,43.0,5.713395867115447e-06,3.5833333333333335,29 days 17:37:55.897000,python,29.734674733796297
177,Abdelkader,10.0,1.3286967132826622e-06,0.8333333333333334,11 days 22:06:28.798000,python,11.921166643518518
178,Abdelkadir,4.0,5.314786853130648e-07,0.3333333333333333,0 days 00:01:16.541000,python,0.0008858912037037037
179,Abdelkamal,14.0,1.860175398595727e-06,1.1666666666666667,110 days 00:28:27.919000,python,110.01976758101851
180,Abdelkebir,86.0,1.1426791734230894e-05,7.166666666666667,92 days 08:21:03.285000,python,92.3479546875
181,Abdelkerim,14.0,1.860175398595727e-06,1.1666666666666667,6 days 10:57:07.039000,python,6.456331469907408
182,Abdelkhalak,4.0,5.314786853130648e-07,0.3333333333333333,0 days 00:35:12.838000,python,0.024454143518518517
184,Abdelkhaleq,2.0,2.657393426565324e-07,0.16666666666666666,0 days 17:34:21.921000,python,0.7321981597222222
185,Abdelkrim,33.0,4.384699153832785e-06,2.75,7 days 01:30:00.123000,python,7.062501423611111
186,Abdellah,14.0,1.860175398595727e-06,1.1666666666666667,3 days 07:39:52.212000,python,3.3193543055555557
187,Abdellahi,17.0,2.2587844125805255e-06,1.4166666666666667,4 days 02:05:03.017000,python,4.086840474537037
188,Abdellali,3.0,3.9860901398479863e-07,0.25,0 days 00:04:48.618000,python,0.003340486111111111
189,Abdellatif,214.0,2.843410966424897e-05,17.833333333333332,152 days 22:44:59.459000,python,152.94791040509259
190,Abdellaziz,15.0,1.9930450699239932e-06,1.25,15 days 05:15:25.431000,python,15.219044340277778
191,Abdellilah,11.0,1.4615663846109284e-06,0.9166666666666666,6 days 19:46:15.378000,python,6.823789097222222
192,Abdelmadjid,308.0,4.092385876910599e-05,25.666666666666668,265 days 15:26:07.497000,python,265.6431423263889
193,Abdelmajid,593.0,7.879171509766187e-05,49.416666666666664,126 days 20:31:28.082000,python,126.85518613425926
194,Abdelmalek,2.0,2.657393426565324e-07,0.16666666666666666,0 days 00:01:06.440000,python,0.0007689814814814815
195,Abdelmalik,68.0,9.035137650322102e-06,5.666666666666667,1 days 00:51:16.400000,python,1.0356064814814814
196,Abdelmaoula,189.0,2.5112367881042316e-05,15.75,129 days 04:37:00.616000,python,129.19236824074073
197,Abdelmjid,10.0,1.3286967132826622e-06,0.8333333333333334,152 days 23:21:37.801000,python,152.97335417824075
198,Abdelmoghit,23.0,3.056002440550123e-06,1.9166666666666667,112 days 10:04:12.540000,python,112.41958958333333
199,Abdelmonaim,106.0,1.4084185160796219e-05,8.833333333333334,136 days 09:46:20.136000,python,136.4071775
202,Abdelmoula,43.0,5.713395867115447e-06,3.5833333333333335,124 days 18:32:16.161000,python,124.77240927083334
205,Abdeloihed,2.0,2.657393426565324e-07,0.16666666666666666,0 days 00:00:30.794000,python,0.00035641203703703703
206,Abdeloihid,285.0,3.786785632855587e-05,23.75,113 days 19:30:33.426000,python,113.812886875
207,Abdelouahab,155.0,2.0594799055881263e-05,12.916666666666666,18 days 01:43:49.436000,python,18.072099953703702
208,Abdelouahad,8.0,1.0629573706261297e-06,0.6666666666666666,57 days 01:18:16.141000,python,57.0543534837963
209,Abdelouahd,14.0,1.860175398595727e-06,1.1666666666666667,0 days 09:53:52.566000,python,0.41241395833333333
210,Abdelouahed,35.0,4.650438496489318e-06,2.9166666666666665,60 days 18:16:59.252000,python,60.76179689814815
213,Abdeltif,5.0,6.643483566413311e-07,0.4166666666666667,8 days 20:43:13.300000,python,8.86334837962963
215,Abdelwahab,2.0,2.657393426565324e-07,0.16666666666666666,0 days 00:00:16.964000,python,0.0001963425925925926
216,Abdelwahad,7.0,9.300876992978635e-07,0.5833333333333334,78 days 19:07:55.478000,python,78.79716988425926
218,Abdelwahid,2.0,2.657393426565324e-07,0.16666666666666666,73 days 04:40:18.824000,python,73.19466231481482
219,Abdenaji,23.0,3.056002440550123e-06,1.9166666666666667,32 days 06:21:47.475000,python,32.2651328125
220,Abdenassar,10.0,1.3286967132826622e-06,0.8333333333333334,44 days 14:37:58.983000,python,44.60971045138889
221,Abdenbi,25.0,3.3217417832066552e-06,2.0833333333333335,15 days 10:40:14.557000,python,15.44461292824074
222,Abdennaji,11.0,1.4615663846109284e-06,0.9166666666666666,171 days 05:29:17.919000,python,171.22867961805557
223,Abdennaser,124.0,1.6475839244705012e-05,10.333333333333334,181 days 20:28:19.836000,python,181.8530073611111
224,Abdennassar,3.0,3.9860901398479863e-07,0.25,83 days 13:33:46.577000,python,83.56512241898149
225,Abdennasser,6.0,7.972180279695973e-07,0.5,0 days 00:15:09.692000,python,0.010528842592592593
226,Abdennebi,53.0,7.042092580398109e-06,4.416666666666667,83 days 05:21:28.336000,python,83.22324462962963
227,Abdenour,16.0,2.1259147412522594e-06,1.3333333333333333,21 days 05:32:41.847000,python,21.231039895833334
229,Abderazak,27.0,3.587481125863188e-06,2.25,20 days 05:43:15.582000,python,20.238374791666665
230,Abderazzak,12.0,1.5944360559391945e-06,1.0,228 days 15:41:35.632000,python,228.65388462962963
231,Abderezak,6.0,7.972180279695973e-07,0.5,195 days 06:32:53.617000,python,195.27284278935184
232,Abderrachid,18.0,2.3916540839087917e-06,1.5,73 days 20:52:22.508000,python,73.8697049537037
233,Abderrafia,2.0,2.657393426565324e-07,0.16666666666666666,61 days 00:46:59.952000,python,61.03263833333333
234,Abderrafie,7.0,9.300876992978635e-07,0.5833333333333334,166 days 04:47:16.079000,python,166.1994916550926
235,Abderrafik,13.0,1.7273057272674607e-06,1.0833333333333333,222 days 02:45:55.472000,python,222.11522537037038
236,Abderrahim,51.0,6.776353237741577e-06,4.25,12 days 18:36:49.421000,python,12.775572002314815
238,Abderrahmane,3.0,3.9860901398479863e-07,0.25,0 days 00:18:29.611000,python,0.012842719907407407
239,Abderraman,63.0,8.370789293680771e-06,5.25,224 days 22:51:45.852000,python,224.95261402777777
240,Abderrazak,62.0,8.237919622352506e-06,5.166666666666667,20 days 06:00:25.514000,python,20.250295300925927
241,Abderrazaq,4.0,5.314786853130648e-07,0.3333333333333333,0 days 00:01:18.982000,python,0.0009141435185185186
242,Abderrazek,7.0,9.300876992978635e-07,0.5833333333333334,3 days 00:08:39.815000,python,3.0060163773148147
243,Abderrezzak,963.0,0.00012795349348912038,80.25,30 days 06:31:49.642000,python,30.272102337962963
244,Abderzak,13.0,1.7273057272674607e-06,1.0833333333333333,0 days 00:38:10.600000,python,0.026511574074074073
245,Abdesalam,9.0,1.1958270419543959e-06,0.75,43 days 22:57:53.413000,python,43.95686820601852
246,Abdesamad,142.0,1.8867493328613804e-05,11.833333333333334,210 days 02:31:04.633000,python,210.1049147337963
249,Abdeslem,294.0,3.906368337051027e-05,24.5,176 days 04:12:02.331000,python,176.17502697916666
250,Abdessadek,8.0,1.0629573706261297e-06,0.6666666666666666,0 days 00:18:35.876000,python,0.01291523148148148
251,Abdessadeq,11.0,1.4615663846109284e-06,0.9166666666666666,75 days 21:15:34.597000,python,75.88581709490741
252,Abdessadik,485.0,6.444179059420912e-05,40.416666666666664,13 days 03:54:23.359000,python,13.162770358796296
253,Abdessalem,20.0,2.6573934265653244e-06,1.6666666666666667,152 days 21:34:09.486000,python,152.89872090277777
254,Abdessamed,20.0,2.6573934265653244e-06,1.6666666666666667,256 days 05:24:11.109000,python,256.2251285763889
255,Abdessamie,7.0,9.300876992978635e-07,0.5833333333333334,0 days 00:05:47.469000,python,0.004021631944444445
256,Abdesslem,3.0,3.9860901398479863e-07,0.25,0 days 00:04:59.135000,python,0.0034622106481481483
257,Abdi,6.0,7.972180279695973e-07,0.5,97 days 17:55:55.569000,python,97.7471709375
258,Abdias,20.0,2.6573934265653244e-06,1.6666666666666667,115 days 07:50:07.702000,python,115.32647803240741
259,Abdiel,22.0,2.9231327692218568e-06,1.8333333333333333,75 days 15:57:02.972000,python,75.66461773148148
260,Abdifatah,2.0,2.657393426565324e-07,0.16666666666666666,0 days 00:00:15.890000,python,0.00018391203703703704
261,Abdihafid,7.0,9.300876992978635e-07,0.5833333333333334,25 days 00:01:07.475000,python,25.000780960648147
262,Abdihakim,24.0,3.188872111878389e-06,2.0,3 days 16:03:32.969000,python,3.6691315856481483
263,Abdirahim,13.0,1.7273057272674607e-06,1.0833333333333333,93 days 20:01:20.241000,python,93.83426204861111
264,Abdisamad,32.0,4.251829482504519e-06,2.6666666666666665,0 days 04:19:47.518000,python,0.18041108796296296
265,Abdo,2.0,2.657393426565324e-07,0.16666666666666666,1 days 11:01:54.831000,python,1.4596623958333332
266,Abdon,4.0,5.314786853130648e-07,0.3333333333333333,0 days 00:06:11.505000,python,0.004299826388888889
267,Abdoul,5.0,6.643483566413311e-07,0.4166666666666667,2 days 06:26:03.438000,python,2.2680953472222223
268,Abdoulaye,72.0,9.566616335635167e-06,6.0,189 days 03:28:29.130000,python,189.14478159722222
269,Abdoulie,9.0,1.1958270419543959e-06,0.75,0 days 01:40:11.254000,python,0.06957469907407407
270,Abdourahman,3.0,3.9860901398479863e-07,0.25,0 days 00:20:15.999000,python,0.0140740625
271,Abdourahmane,2.0,2.657393426565324e-07,0.16666666666666666,0 days 00:00:14.667000,python,0.00016975694444444444
272,Abdramane,13.0,1.7273057272674607e-06,1.0833333333333333,0 days 00:13:07.940000,python,0.009119675925925925
273,Abdriel,409.0,5.434369557326088e-05,34.083333333333336,201 days 13:19:59.699000,python,201.55555207175925
274,Abdu,18.0,2.3916540839087917e-06,1.5,0 days 03:13:45.975000,python,0.13455989583333333
275,Abdul,113.0,1.5014272860094083e-05,9.416666666666666,26 days 13:20:05.778000,python,26.555622430555555
277,Abdulahi,4.0,5.314786853130648e-07,0.3333333333333333,0 days 00:26:19.186000,python,0.01827761574074074
278,Abdulai,8.0,1.0629573706261297e-06,0.6666666666666666,0 days 21:38:38.107000,python,0.9018299421296296
279,Abdulaziz,24.0,3.188872111878389e-06,2.0,0 days 00:12:10.611000,python,0.008456145833333333
280,Abdulbasit,5.0,6.643483566413311e-07,0.4166666666666667,60 days 03:34:02.318000,python,60.14863793981481
282,Abdulhamid,17.0,2.2587844125805255e-06,1.4166666666666667,3 days 18:12:40.167000,python,3.7587982291666666
283,Abdulla,7.0,9.300876992978635e-07,0.5833333333333334,139 days 03:53:42.691000,python,139.16229966435185
284,Abdullah,3.0,3.9860901398479863e-07,0.25,85 days 01:01:43.154000,python,85.04286057870371
285,Abdulloh,52.0,6.909222909069843e-06,4.333333333333333,59 days 05:29:51.711000,python,59.229070729166665
286,Abdulmalik,16.0,2.1259147412522594e-06,1.3333333333333333,1 days 21:11:47.126000,python,1.8831843287037038
288,Abdulwali,25.0,3.3217417832066552e-06,2.0833333333333335,0 days 00:12:31.863000,python,0.008702118055555555
289,Abdur,28.0,3.720350797191454e-06,2.3333333333333335,28 days 12:40:43.065000,python,28.528276215277778
291,Abdus,8.0,1.0629573706261297e-06,0.6666666666666666,10 days 08:05:40.177000,python,10.337270567129629
292,Abe,6.0,7.972180279695973e-07,0.5,12 days 18:54:25.105000,python,12.78779056712963
293,Abed,131.0,1.7405926944002875e-05,10.916666666666666,93 days 16:26:47.975000,python,93.68527748842592
294,Abeeha,6.0,7.972180279695973e-07,0.5,70 days 02:04:43.797000,python,70.08661802083333
295,Abeer,41.0,5.447656524458915e-06,3.4166666666666665,199 days 12:24:38.453000,python,199.51711172453705
296,Abel,8.0,1.0629573706261297e-06,0.6666666666666666,113 days 07:04:44.580000,python,113.29496041666667
297,Abelardo,560.0,7.440701594382908e-05,46.666666666666664,78 days 04:24:34.222000,python,78.18372942129629
298,Abelino,8.0,1.0629573706261297e-06,0.6666666666666666,4 days 15:11:14.064000,python,4.6328016666666665
299,Abella,2.0,2.657393426565324e-07,0.16666666666666666,109 days 19:03:27.638000,python,109.79406988425926
300,Abem,4.0,5.314786853130648e-07,0.3333333333333333,2 days 17:37:51.318000,python,2.734621736111111
301,Abena,3.0,3.9860901398479863e-07,0.25,66 days 13:08:45.376000,python,66.54774740740741
302,Abencio,103.0,1.368557614681142e-05,8.583333333333334,16 days 11:32:24.163000,python,16.48083521990741
303,Aberdeen,5.0,6.643483566413311e-07,0.4166666666666667,16 days 12:40:21.552000,python,16.52802722222222
304,Abhi,22.0,2.9231327692218568e-06,1.8333333333333333,4 days 02:50:55.284000,python,4.118695416666666
305,Abhik,22.0,2.9231327692218568e-06,1.8333333333333333,12 days 07:14:43.658000,python,12.301894189814815
306,Abhimanyu,13.0,1.7273057272674607e-06,1.0833333333333333,44 days 00:50:25.730000,python,44.03502002314815
307,Abhinav,251.0,3.335028750339482e-05,20.916666666666668,224 days 18:21:14.225000,python,224.76474797453704
