,user,#_messages,#_messages_as_percentage_of_total,mean,time_delta,programming_language
75,Aarav,35,4.650438496489318e-06,2.9166666666666665,0 days 00:25:11.962000,python
76,Aaria,14,1.860175398595727e-06,1.1666666666666667,0 days 00:25:04.074000,python
77,Aariah,7,9.300876992978635e-07,0.5833333333333334,0 days 04:37:24.032000,python
78,Aarianna,2,2.657393426565324e-07,0.16666666666666666,0 days 00:00:43.653000,python
79,Aaric,11,1.4615663846109284e-06,0.9166666666666666,0 days 00:11:54.809000,python
80,Aarik,15,1.9930450699239932e-06,1.25,0 days 19:53:44.620000,python
81,Aarika,41,5.447656524458915e-06,3.4166666666666665,16 days 04:19:16.096000,python
82,Aarin,4,5.314786853130648e-07,0.3333333333333333,0 days 00:02:15.933000,python
83,Aarish,54,7.174962251726376e-06,4.5,239 days 13:27:38.805000,python
84,Aarit,2,2.657393426565324e-07,0.16666666666666666,0 days 00:03:08.280000,python
85,Aariv,23137,0.0030742055855220956,1928.0833333333333,30 days 18:23:07.224000,python
86,Aariya,2,2.657393426565324e-07,0.16666666666666666,0 days 00:00:13.623000,python
87,Aariyah,2,2.657393426565324e-07,0.16666666666666666,16 days 05:05:21.011000,python
88,Aarna,2,2.657393426565324e-07,0.16666666666666666,0 days 00:00:54.057000,python
89,Aarnav,7,9.300876992978635e-07,0.5833333333333334,289 days 03:25:00.431000,python
90,Aarnika,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
91,Aarohi,81,1.0762443377589563e-05,6.75,142 days 06:46:58.983000,python
92,Aaron,4,5.314786853130648e-07,0.3333333333333333,0 days 00:01:18.303000,python
93,Aarsh,5,6.643483566413311e-07,0.4166666666666667,53 days 18:47:27.372000,python
94,Aarshi,3,3.9860901398479863e-07,0.25,0 days 00:00:28.343000,python
95,Aarush,59,7.839310608367706e-06,4.916666666666667,139 days 21:36:42.505000,python
96,Aarushi,14,1.860175398595727e-06,1.1666666666666667,0 days 00:31:57.565000,python
97,Aarushreddy,18,2.3916540839087917e-06,1.5,2 days 23:16:38.649000,python
98,Aarya,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
99,Aaryah,67,8.902267978993837e-06,5.583333333333333,10 days 11:28:02.681000,python
100,Aaryahi,115,1.5280012202750616e-05,9.583333333333334,17 days 04:21:35.919000,python
101,Aaryan,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
102,Aaryana,18,2.3916540839087917e-06,1.5,13 days 19:43:20.244000,python
103,Aaryansh,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
104,Aaryash,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
105,Aaryav,13,1.7273057272674607e-06,1.0833333333333333,181 days 23:29:36.098000,python
106,Aashna,5,6.643483566413311e-07,0.4166666666666667,26 days 15:33:15.467000,python
107,Aashrita,9,1.1958270419543959e-06,0.75,27 days 16:40:41.108000,python
108,Aashritha,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
109,Aashvi,17,2.2587844125805255e-06,1.4166666666666667,18 days 14:01:18.988000,python
110,Aasim,7,9.300876992978635e-07,0.5833333333333334,15 days 05:01:32.914000,python
111,Aasir,11,1.4615663846109284e-06,0.9166666666666666,0 days 00:07:45.295000,python
112,Aasiyah,4,5.314786853130648e-07,0.3333333333333333,53 days 08:34:01.468000,python
113,Aason,2,2.657393426565324e-07,0.16666666666666666,0 days 00:00:30.630000,python
114,Aathira,3,3.9860901398479863e-07,0.25,48 days 05:13:51.269000,python
115,Aavah,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
116,Aavan,20,2.6573934265653244e-06,1.6666666666666667,135 days 00:47:26.886000,python
117,Aaven,36,4.783308167817583e-06,3.0,82 days 20:08:47.310000,python
118,Aavion,2,2.657393426565324e-07,0.16666666666666666,0 days 00:02:47.814000,python
119,Aavir,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
120,Aavyan,6,7.972180279695973e-07,0.5,2 days 04:52:11.990000,python
121,Aayam,4,5.314786853130648e-07,0.3333333333333333,4 days 21:08:55.302000,python
122,Aayat,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
123,Aayden,67,8.902267978993837e-06,5.583333333333333,232 days 12:41:30.077000,python
124,Aayu,87,1.155966140555916e-05,7.25,1 days 04:06:46.775000,python
125,Aazir,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
126,Aaziyah,3,3.9860901398479863e-07,0.25,3 days 13:58:45.029000,python
127,Ababacar,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
128,Abaddon,2,2.657393426565324e-07,0.16666666666666666,0 days 00:01:31.033000,python
129,Abagail,17,2.2587844125805255e-06,1.4166666666666667,10 days 23:50:37.418000,python
130,Abanoub,3,3.9860901398479863e-07,0.25,0 days 19:19:27.083000,python
131,Abass,4,5.314786853130648e-07,0.3333333333333333,0 days 00:03:46.485000,python
132,Abba,29,3.85322046851972e-06,2.4166666666666665,4 days 13:14:11.844000,python
133,Abbagail,5,6.643483566413311e-07,0.4166666666666667,196 days 16:42:15.209000,python
134,Abbas,116,1.541288187407888e-05,9.666666666666666,21 days 02:31:01.568000,python
135,Abbi,28,3.720350797191454e-06,2.3333333333333335,274 days 11:50:18.257000,python
136,Abbie,3,3.9860901398479863e-07,0.25,36 days 00:14:43.076000,python
137,Abbigail,3,3.9860901398479863e-07,0.25,0 days 00:03:17.956000,python
138,Abbigale,3,3.9860901398479863e-07,0.25,0 days 00:04:57.208000,python
139,Abbott,42,5.580526195787181e-06,3.5,214 days 22:01:37.450000,python
140,Abby,2,2.657393426565324e-07,0.16666666666666666,0 days 00:02:39.143000,python
141,Abbygail,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
142,Abdala,9,1.1958270419543959e-06,0.75,0 days 00:06:42.943000,python
143,Abdalah,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
144,Abdalahe,6,7.972180279695973e-07,0.5,0 days 00:01:56.716000,python
145,Abdel,42,5.580526195787181e-06,3.5,70 days 20:27:39.463000,python
146,Abdelaaziz,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
147,Abdeladim,5,6.643483566413311e-07,0.4166666666666667,0 days 00:03:47.202000,python
148,Abdelakrim,48,6.377744223756778e-06,4.0,15 days 21:21:50.464000,python
149,Abdelali,5,6.643483566413311e-07,0.4166666666666667,0 days 00:03:36.211000,python
150,Abdelasis,38,5.0490475104741166e-06,3.1666666666666665,16 days 12:31:28.846000,python
151,Abdelazis,59,7.839310608367706e-06,4.916666666666667,18 days 15:38:49.531000,python
152,Abdelaziz,25,3.3217417832066552e-06,2.0833333333333335,195 days 09:13:11.335000,python
153,Abdelazize,40,5.314786853130649e-06,3.3333333333333335,5 days 01:49:47.875000,python
154,Abdelbaki,11,1.4615663846109284e-06,0.9166666666666666,21 days 13:13:18.299000,python
155,Abdelbasset,2324,0.0003087891161668907,193.66666666666666,302 days 23:58:58.053000,python
156,Abdeldjalil,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
157,Abdelelah,315,4.1853946468403855e-05,26.25,19 days 18:56:01.014000,python
158,Abdelfatah,5,6.643483566413311e-07,0.4166666666666667,123 days 16:17:28.344000,python
159,Abdelfattah,5,6.643483566413311e-07,0.4166666666666667,0 days 00:46:07.161000,python
160,Abdelfetah,9,1.1958270419543959e-06,0.75,317 days 21:53:59.277000,python
161,Abdelfettah,32,4.251829482504519e-06,2.6666666666666665,30 days 04:10:39.014000,python
162,Abdelghani,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
163,Abdelghni,2,2.657393426565324e-07,0.16666666666666666,0 days 00:00:46.623000,python
164,Abdelhafid,3,3.9860901398479863e-07,0.25,95 days 16:02:43.944000,python
165,Abdelhai,4,5.314786853130648e-07,0.3333333333333333,77 days 03:27:26.322000,python
166,Abdelhak,85,1.1293922062902629e-05,7.083333333333333,5 days 01:15:55.286000,python
167,Abdelhakim,4,5.314786853130648e-07,0.3333333333333333,41 days 08:49:29.039000,python
168,Abdelhalak,9,1.1958270419543959e-06,0.75,81 days 16:11:48.809000,python
169,Abdelhalim,181,2.4049410510416184e-05,15.083333333333334,123 days 21:29:05.892000,python
170,Abdelhamid,23,3.056002440550123e-06,1.9166666666666667,24 days 03:11:51.762000,python
171,Abdelhilah,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
172,Abdelilah,10,1.3286967132826622e-06,0.8333333333333334,0 days 15:28:02.900000,python
173,Abdelillah,83,1.1028182720246096e-05,6.916666666666667,69 days 17:01:34.608000,python
174,Abdeljabbar,11,1.4615663846109284e-06,0.9166666666666666,159 days 05:27:57.807000,python
175,Abdeljaouad,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
176,Abdelkabir,43,5.713395867115447e-06,3.5833333333333335,29 days 17:37:55.897000,python
177,Abdelkader,10,1.3286967132826622e-06,0.8333333333333334,11 days 22:06:28.798000,python
178,Abdelkadir,4,5.314786853130648e-07,0.3333333333333333,0 days 00:01:16.541000,python
179,Abdelkamal,14,1.860175398595727e-06,1.1666666666666667,110 days 00:28:27.919000,python
180,Abdelkebir,86,1.1426791734230894e-05,7.166666666666667,92 days 08:21:03.285000,python
181,Abdelkerim,14,1.860175398595727e-06,1.1666666666666667,6 days 10:57:07.039000,python
182,Abdelkhalak,4,5.314786853130648e-07,0.3333333333333333,0 days 00:35:12.838000,python
183,Abdelkhalek,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
184,Abdelkhaleq,2,2.657393426565324e-07,0.16666666666666666,0 days 17:34:21.921000,python
185,Abdelkrim,33,4.384699153832785e-06,2.75,7 days 01:30:00.123000,python
186,Abdellah,14,1.860175398595727e-06,1.1666666666666667,3 days 07:39:52.212000,python
187,Abdellahi,17,2.2587844125805255e-06,1.4166666666666667,4 days 02:05:03.017000,python
188,Abdellali,3,3.9860901398479863e-07,0.25,0 days 00:04:48.618000,python
189,Abdellatif,214,2.843410966424897e-05,17.833333333333332,152 days 22:44:59.459000,python
190,Abdellaziz,15,1.9930450699239932e-06,1.25,15 days 05:15:25.431000,python
191,Abdellilah,11,1.4615663846109284e-06,0.9166666666666666,6 days 19:46:15.378000,python
192,Abdelmadjid,308,4.092385876910599e-05,25.666666666666668,265 days 15:26:07.497000,python
193,Abdelmajid,593,7.879171509766187e-05,49.416666666666664,126 days 20:31:28.082000,python
194,Abdelmalek,2,2.657393426565324e-07,0.16666666666666666,0 days 00:01:06.440000,python
195,Abdelmalik,68,9.035137650322102e-06,5.666666666666667,1 days 00:51:16.400000,python
196,Abdelmaoula,189,2.5112367881042316e-05,15.75,129 days 04:37:00.616000,python
197,Abdelmjid,10,1.3286967132826622e-06,0.8333333333333334,152 days 23:21:37.801000,python
198,Abdelmoghit,23,3.056002440550123e-06,1.9166666666666667,112 days 10:04:12.540000,python
199,Abdelmonaim,106,1.4084185160796219e-05,8.833333333333334,136 days 09:46:20.136000,python
200,Abdelmonim,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
201,Abdelmoughit,20,2.6573934265653244e-06,1.6666666666666667,309 days 11:52:07.311000,python
202,Abdelmoula,43,5.713395867115447e-06,3.5833333333333335,124 days 18:32:16.161000,python
203,Abdelmoumen,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
204,Abdeloihab,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
205,Abdeloihed,2,2.657393426565324e-07,0.16666666666666666,0 days 00:00:30.794000,python
206,Abdeloihid,285,3.786785632855587e-05,23.75,113 days 19:30:33.426000,python
207,Abdelouahab,155,2.0594799055881263e-05,12.916666666666666,18 days 01:43:49.436000,python
208,Abdelouahad,8,1.0629573706261297e-06,0.6666666666666666,57 days 01:18:16.141000,python
209,Abdelouahd,14,1.860175398595727e-06,1.1666666666666667,0 days 09:53:52.566000,python
210,Abdelouahed,35,4.650438496489318e-06,2.9166666666666665,60 days 18:16:59.252000,python
211,Abdelouahhab,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
212,Abdelrahman,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
213,Abdeltif,5,6.643483566413311e-07,0.4166666666666667,8 days 20:43:13.300000,python
214,Abdeluahid,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
215,Abdelwahab,2,2.657393426565324e-07,0.16666666666666666,0 days 00:00:16.964000,python
216,Abdelwahad,7,9.300876992978635e-07,0.5833333333333334,78 days 19:07:55.478000,python
217,Abdelwahed,1785,0.0002371723633209552,148.75,30 days 16:12:03.149000,python
218,Abdelwahid,2,2.657393426565324e-07,0.16666666666666666,73 days 04:40:18.824000,python
219,Abdenaji,23,3.056002440550123e-06,1.9166666666666667,32 days 06:21:47.475000,python
220,Abdenassar,10,1.3286967132826622e-06,0.8333333333333334,44 days 14:37:58.983000,python
221,Abdenbi,25,3.3217417832066552e-06,2.0833333333333335,15 days 10:40:14.557000,python
222,Abdennaji,11,1.4615663846109284e-06,0.9166666666666666,171 days 05:29:17.919000,python
223,Abdennaser,124,1.6475839244705012e-05,10.333333333333334,181 days 20:28:19.836000,python
224,Abdennassar,3,3.9860901398479863e-07,0.25,83 days 13:33:46.577000,python
225,Abdennasser,6,7.972180279695973e-07,0.5,0 days 00:15:09.692000,python
226,Abdennebi,53,7.042092580398109e-06,4.416666666666667,83 days 05:21:28.336000,python
227,Abdenour,16,2.1259147412522594e-06,1.3333333333333333,21 days 05:32:41.847000,python
228,Abderahmane,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
229,Abderazak,27,3.587481125863188e-06,2.25,20 days 05:43:15.582000,python
230,Abderazzak,12,1.5944360559391945e-06,1.0,228 days 15:41:35.632000,python
231,Abderezak,6,7.972180279695973e-07,0.5,195 days 06:32:53.617000,python
232,Abderrachid,18,2.3916540839087917e-06,1.5,73 days 20:52:22.508000,python
233,Abderrafia,2,2.657393426565324e-07,0.16666666666666666,61 days 00:46:59.952000,python
234,Abderrafie,7,9.300876992978635e-07,0.5833333333333334,166 days 04:47:16.079000,python
235,Abderrafik,13,1.7273057272674607e-06,1.0833333333333333,222 days 02:45:55.472000,python
236,Abderrahim,51,6.776353237741577e-06,4.25,12 days 18:36:49.421000,python
237,Abderrahime,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
238,Abderrahmane,3,3.9860901398479863e-07,0.25,0 days 00:18:29.611000,python
239,Abderraman,63,8.370789293680771e-06,5.25,224 days 22:51:45.852000,python
240,Abderrazak,62,8.237919622352506e-06,5.166666666666667,20 days 06:00:25.514000,python
241,Abderrazaq,4,5.314786853130648e-07,0.3333333333333333,0 days 00:01:18.982000,python
242,Abderrazek,7,9.300876992978635e-07,0.5833333333333334,3 days 00:08:39.815000,python
243,Abderrezzak,963,0.00012795349348912038,80.25,30 days 06:31:49.642000,python
244,Abderzak,13,1.7273057272674607e-06,1.0833333333333333,0 days 00:38:10.600000,python
245,Abdesalam,9,1.1958270419543959e-06,0.75,43 days 22:57:53.413000,python
246,Abdesamad,142,1.8867493328613804e-05,11.833333333333334,210 days 02:31:04.633000,python
247,Abdeselam,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
248,Abdeslam,43,5.713395867115447e-06,3.5833333333333335,296 days 07:30:01.994000,python
249,Abdeslem,294,3.906368337051027e-05,24.5,176 days 04:12:02.331000,python
250,Abdessadek,8,1.0629573706261297e-06,0.6666666666666666,0 days 00:18:35.876000,python
251,Abdessadeq,11,1.4615663846109284e-06,0.9166666666666666,75 days 21:15:34.597000,python
252,Abdessadik,485,6.444179059420912e-05,40.416666666666664,13 days 03:54:23.359000,python
253,Abdessalem,20,2.6573934265653244e-06,1.6666666666666667,152 days 21:34:09.486000,python
254,Abdessamed,20,2.6573934265653244e-06,1.6666666666666667,256 days 05:24:11.109000,python
255,Abdessamie,7,9.300876992978635e-07,0.5833333333333334,0 days 00:05:47.469000,python
256,Abdesslem,3,3.9860901398479863e-07,0.25,0 days 00:04:59.135000,python
257,Abdi,6,7.972180279695973e-07,0.5,97 days 17:55:55.569000,python
258,Abdias,20,2.6573934265653244e-06,1.6666666666666667,115 days 07:50:07.702000,python
259,Abdiel,22,2.9231327692218568e-06,1.8333333333333333,75 days 15:57:02.972000,python
260,Abdifatah,2,2.657393426565324e-07,0.16666666666666666,0 days 00:00:15.890000,python
261,Abdihafid,7,9.300876992978635e-07,0.5833333333333334,25 days 00:01:07.475000,python
262,Abdihakim,24,3.188872111878389e-06,2.0,3 days 16:03:32.969000,python
263,Abdirahim,13,1.7273057272674607e-06,1.0833333333333333,93 days 20:01:20.241000,python
264,Abdisamad,32,4.251829482504519e-06,2.6666666666666665,0 days 04:19:47.518000,python
265,Abdo,2,2.657393426565324e-07,0.16666666666666666,1 days 11:01:54.831000,python
266,Abdon,4,5.314786853130648e-07,0.3333333333333333,0 days 00:06:11.505000,python
267,Abdoul,5,6.643483566413311e-07,0.4166666666666667,2 days 06:26:03.438000,python
268,Abdoulaye,72,9.566616335635167e-06,6.0,189 days 03:28:29.130000,python
269,Abdoulie,9,1.1958270419543959e-06,0.75,0 days 01:40:11.254000,python
270,Abdourahman,3,3.9860901398479863e-07,0.25,0 days 00:20:15.999000,python
271,Abdourahmane,2,2.657393426565324e-07,0.16666666666666666,0 days 00:00:14.667000,python
272,Abdramane,13,1.7273057272674607e-06,1.0833333333333333,0 days 00:13:07.940000,python
273,Abdriel,409,5.434369557326088e-05,34.083333333333336,201 days 13:19:59.699000,python
274,Abdu,18,2.3916540839087917e-06,1.5,0 days 03:13:45.975000,python
275,Abdul,113,1.5014272860094083e-05,9.416666666666666,26 days 13:20:05.778000,python
276,Abdulahad,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
277,Abdulahi,4,5.314786853130648e-07,0.3333333333333333,0 days 00:26:19.186000,python
278,Abdulai,8,1.0629573706261297e-06,0.6666666666666666,0 days 21:38:38.107000,python
279,Abdulaziz,24,3.188872111878389e-06,2.0,0 days 00:12:10.611000,python
280,Abdulbasit,5,6.643483566413311e-07,0.4166666666666667,60 days 03:34:02.318000,python
281,Abdulhadi,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
282,Abdulhamid,17,2.2587844125805255e-06,1.4166666666666667,3 days 18:12:40.167000,python
283,Abdulla,7,9.300876992978635e-07,0.5833333333333334,139 days 03:53:42.691000,python
284,Abdullah,3,3.9860901398479863e-07,0.25,85 days 01:01:43.154000,python
285,Abdulloh,52,6.909222909069843e-06,4.333333333333333,59 days 05:29:51.711000,python
286,Abdulmalik,16,2.1259147412522594e-06,1.3333333333333333,1 days 21:11:47.126000,python
287,Abdulrahman,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
288,Abdulwali,25,3.3217417832066552e-06,2.0833333333333335,0 days 00:12:31.863000,python
289,Abdur,28,3.720350797191454e-06,2.3333333333333335,28 days 12:40:43.065000,python
290,Abdurahman,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
291,Abdus,8,1.0629573706261297e-06,0.6666666666666666,10 days 08:05:40.177000,python
292,Abe,6,7.972180279695973e-07,0.5,12 days 18:54:25.105000,python
293,Abed,131,1.7405926944002875e-05,10.916666666666666,93 days 16:26:47.975000,python
294,Abeeha,6,7.972180279695973e-07,0.5,70 days 02:04:43.797000,python
295,Abeer,41,5.447656524458915e-06,3.4166666666666665,199 days 12:24:38.453000,python
296,Abel,8,1.0629573706261297e-06,0.6666666666666666,113 days 07:04:44.580000,python
297,Abelardo,560,7.440701594382908e-05,46.666666666666664,78 days 04:24:34.222000,python
298,Abelino,8,1.0629573706261297e-06,0.6666666666666666,4 days 15:11:14.064000,python
299,Abella,2,2.657393426565324e-07,0.16666666666666666,109 days 19:03:27.638000,python
300,Abem,4,5.314786853130648e-07,0.3333333333333333,2 days 17:37:51.318000,python
301,Abena,3,3.9860901398479863e-07,0.25,66 days 13:08:45.376000,python
302,Abencio,103,1.368557614681142e-05,8.583333333333334,16 days 11:32:24.163000,python
303,Aberdeen,5,6.643483566413311e-07,0.4166666666666667,16 days 12:40:21.552000,python
304,Abhi,22,2.9231327692218568e-06,1.8333333333333333,4 days 02:50:55.284000,python
305,Abhik,22,2.9231327692218568e-06,1.8333333333333333,12 days 07:14:43.658000,python
306,Abhimanyu,13,1.7273057272674607e-06,1.0833333333333333,44 days 00:50:25.730000,python
307,Abhinav,251,3.335028750339482e-05,20.916666666666668,224 days 18:21:14.225000,python
308,Abhiraj,5,6.643483566413311e-07,0.4166666666666667,0 days 00:32:40.008000,python
309,Abhiram,3279,0.0004356796522853849,273.25,193 days 08:39:06.164000,python
310,Abi,16,2.1259147412522594e-06,1.3333333333333333,110 days 14:48:39.142000,python
311,Abian,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
312,Abibou,2,2.657393426565324e-07,0.16666666666666666,0 days 00:01:50.533000,python
313,Abie,138,1.8336014643300738e-05,11.5,19 days 00:13:16.360000,python
314,Abiel,3,3.9860901398479863e-07,0.25,0 days 00:01:07.687000,python
315,Abigaelle,16,2.1259147412522594e-06,1.3333333333333333,312 days 00:41:05.544000,python
